#bamPEFragmentSize
Size	Occurrences	Sample
0	143	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
2	25	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
3	276	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
4	67	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
5	20	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
6	5	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
7	9	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
8	5	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
9	61	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
10	30	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
11	9	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
12	3	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
13	2	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
14	11	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
15	43	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
16	9	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
17	10	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
18	2	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
19	508	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
20	302	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
21	234	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
22	94	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
23	56	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
24	19	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
25	24	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
26	86	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
27	145	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
28	159	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
29	138	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
30	115	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
31	161	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
32	189	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
33	311	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
34	416	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
35	656	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
36	1248	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
37	1669	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
38	1780	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
39	2375	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
40	2682	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
41	3447	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
42	4218	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
43	4754	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
44	5144	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
45	4720	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
46	4177	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
47	3492	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
48	3103	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
49	2912	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
50	3227	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
51	3772	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
52	4343	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
53	4641	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
54	4665	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
55	4326	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
56	3994	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
57	3483	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
58	3297	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
59	2966	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
60	3017	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
61	3167	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
62	3606	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
63	4037	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
64	4006	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
65	3857	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
66	3623	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
67	3240	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
68	2981	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
69	3016	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
70	2704	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
71	2883	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
72	3204	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
73	3386	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
74	3396	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
75	3611	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
76	3403	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
77	3038	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
78	2793	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
79	2564	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
80	2518	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
81	2702	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
82	2793	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
83	3001	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
84	2963	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
85	2951	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
86	3088	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
87	3054	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
88	2633	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
89	2468	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
90	2300	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
91	2313	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
92	2359	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
93	2722	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
94	2791	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
95	2774	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
96	2652	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
97	2638	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
98	2435	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
99	2336	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
100	2095	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
101	2147	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
102	2266	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
103	2336	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
104	2502	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
105	2720	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
106	2564	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
107	2438	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
108	2329	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
109	2018	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
110	2026	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
111	2048	Results/mapping/Lamina_ChattyPatty_Nuclei.markdup.sorted.bam
