#bamPEFragmentSize
Size	Occurrences	Sample
0	121	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
2	9	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
3	116	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
4	23	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
5	6	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
7	6	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
8	3	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
9	45	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
10	8	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
11	7	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
12	4	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
13	12	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
14	25	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
15	112	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
16	43	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
17	18	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
18	6	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
19	11179	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
20	7356	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
21	3791	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
22	1652	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
23	878	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
24	459	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
25	444	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
26	619	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
27	815	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
28	724	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
29	644	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
30	473	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
31	488	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
32	725	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
33	1096	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
34	1656	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
35	2913	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
36	5576	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
37	7277	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
38	8377	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
39	9508	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
40	9697	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
41	10050	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
42	10624	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
43	10800	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
44	11596	Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam
