#bamPEFragmentSize
Size	Occurrences	Sample
0	295	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
2	9	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
3	225	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
4	61	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
5	18	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
6	1	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
7	2	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
8	1	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
9	44	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
10	25	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
11	3	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
13	3	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
14	4	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
15	32	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
16	11	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
17	4	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
18	9	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
19	333	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
20	192	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
21	177	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
22	94	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
23	56	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
24	55	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
25	81	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
26	682	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
27	895	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
28	521	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
29	706	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
30	629	Results/mapping/Liver_ChattyPatty_Nuclei.markdup.sorted.bam
