#bamPEFragmentSize
Size	Occurrences	Sample
0	107	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
2	11	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
3	385	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
4	96	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
5	33	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
7	4	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
8	5	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
9	39	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
10	30	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
11	5	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
13	11	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
14	29	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
15	242	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
16	105	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
17	45	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
18	3	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
19	681	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
20	459	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
21	722	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
22	300	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
23	179	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
24	106	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
25	267	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
26	1654	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
27	1394	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
28	894	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
29	883	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
30	881	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
31	1037	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
32	1054	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
33	1713	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
34	2524	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
35	4349	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
36	8122	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
37	10096	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
38	9280	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
39	11834	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
40	20621	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
41	24050	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
42	23205	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
43	17923	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
44	18041	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
45	16229	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
46	15757	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
47	13519	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
48	12835	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
49	11344	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
50	14140	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
51	15826	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
52	16293	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
53	13087	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
54	11775	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
55	10893	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
56	9716	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
57	9385	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
58	9189	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
59	8479	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
60	9183	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
61	8532	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
62	9576	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
63	9724	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
64	7490	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
65	7683	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
66	6811	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
67	6974	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
68	6554	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
69	6547	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
70	6328	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
71	6090	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
72	5995	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
73	6302	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
74	5562	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
75	5918	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
76	5310	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
77	5038	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
78	5019	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
79	4393	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
80	4575	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
81	4512	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
82	4513	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
83	5163	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
84	4408	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
85	4288	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
86	4157	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
87	4109	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
88	3740	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
89	3962	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
90	3458	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
91	3333	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
92	3336	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
93	3626	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
94	3567	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
95	3371	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
96	3227	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
97	2990	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
98	3411	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
99	3107	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
100	2642	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
101	2497	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
102	2753	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
103	2768	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
104	2941	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
105	2711	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
106	2838	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
107	2579	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
108	2660	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
109	2823	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
110	2215	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
111	2308	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
112	2279	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
113	2364	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
114	2338	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
115	2428	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
116	2212	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
117	2511	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
118	2293	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
119	2249	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
120	2013	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
121	2104	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
122	1767	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
123	1988	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
124	2047	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
125	2179	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
126	2156	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
127	2151	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
128	2035	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
129	2085	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
130	1677	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
131	1779	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
132	1640	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
133	1883	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
134	1813	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
135	1918	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
136	2032	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
137	2147	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
138	2416	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
139	2157	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
140	1940	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
141	2117	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
142	1740	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
143	1613	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
144	1629	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
145	1778	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
146	1841	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
147	2103	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
148	2255	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
149	2663	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
150	3140	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
151	3752	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
152	3548	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
153	2494	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
154	1935	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
155	1865	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
156	1853	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
157	2254	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
158	2309	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
159	2461	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
160	2412	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
161	2384	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
162	2401	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
163	2165	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
164	2182	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
165	2415	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
166	3018	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
167	3044	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
168	3009	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
169	3072	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
170	2922	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
171	2876	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
172	2619	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
173	2467	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
174	2404	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
175	2872	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
176	3006	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
177	3330	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
178	3003	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
179	2797	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
180	2605	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
181	2779	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
182	2778	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
183	2449	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
184	2670	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
185	2478	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
186	2606	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
187	2597	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
188	2430	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
189	2604	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
190	2344	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
191	2431	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
192	2364	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
193	2329	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
194	2510	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
195	2413	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
196	2262	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
197	2425	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
198	2306	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
199	2180	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
200	2218	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
201	2236	Results/mapping/Liver_CP_Tissue.markdup.sorted.bam
