## This is a tabular format curated from sambamba/samtools flagstat output.
## Author: Sichong Peng (scpeng@ucdavis.edu)
File,Total(QC passed),Total(QC failed),Duplicates(QC passed),Mapped(QC passed),Mapped%(QC passed),Paired(QC passed),R1(QC passed),R2(QC passed),Properly paired(QC passed),Properly paired%(QC passed),Paired mapped(QC passed),Mate only(QC passed),Mate only%(QC passed),Mate mapped to diff chr(QC passed), Mate mapped to diff chr(mapQ>5)(QC passed),Duplicates(QC failed),Mapped(QC failed),Mapped%(QC failed),Paired(QC failed),R1(QC failed),R2(QC failed),Properly paired(QC failed),Properly paired%(QC failed),Paired mapped(QC failed),Mate only(QC failed),Mate only%(QC failed),Mate mapped to diff chr(QC failed), Mate mapped to diff chr(mapQ>5)(QC failed)
Liver_GunevaStar_Nuclei_chrM,58106000,0,54815566,58059496,99.92% ,58011761,29054690,29050079,57815738,99.50% ,58011761,46504,0.08% ,34437,24322,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_ChattyPatty_Tissue_chrM,3111429,0,2164679,3103988,99.76% ,3096448,1554484,1556846,3065478,98.53% ,3096448,7441,0.24% ,9012,6129,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GunevaStar_Tissue,170233736,0,34854182,168979941,99.26%,168236454,85075156,85075156,167070758,98.19%,168236454,660063,0.39%,465982,233619,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GunevaStar_Nuclei,152114579,0,85336094,151499533,99.60%,151062348,76036611,76036611,149418428,98.25%,151062348,395828,0.26%,392048,167505,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GunevaStar_Tissue_chrM,7693574,0,6034772,7681418,99.84% ,7668940,3845609,3847643,7631498,99.20% ,7668940,12156,0.16% ,9136,6752,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_ChattyPatty_Nuclei_chrM,1235118,0,698180,1232346,99.78% ,1229524,613661,621407,1215402,98.41% ,1229524,2772,0.22% ,9314,6598,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GunevaStar_Tissue,202680360,0,52681865,199992504,98.67%,199091810,101293266,101293266,197899268,97.69%,199091810,806866,0.40%,739980,321643,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_ChattyPatty_Nuclei,154003199,0,27496595,152208634,98.83%,150917248,76963628,76963628,150156064,97.55%,150917248,1215443,0.79%,618318,326174,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GunevaStar_Nuclei_chrM,975612,0,446922,972628,99.69% ,969605,485094,490479,957368,98.13% ,969605,2984,0.31% ,6851,4800,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_ChattyPatty_Nuclei_chrM,34580251,0,33146313,34559055,99.94% ,34536113,17289839,17288666,34472046,99.69% ,34536113,21196,0.06% ,18979,13822,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_ChattyPatty_Tissue,179873061,0,69714657,178996542,99.51%,178420246,89905400,89905400,176940128,98.40%,178420246,514035,0.29%,367522,188810,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_ChattyPatty_Nuclei,156892497,0,126147669,156245758,99.59%,155839942,78423860,78423860,154851644,98.73%,155839942,361039,0.23%,392962,180471,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GunevaStar_Tissue_chrM,2419601,0,1549462,2412306,99.70% ,2404900,1208048,1211442,2382024,98.45% ,2404900,7295,0.30% ,7128,5181,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GunevaStar_Nuclei,165180235,0,19853600,163496122,98.98%,162442594,82548370,82548370,161594972,97.88%,162442594,970033,0.59%,571512,284700,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_ChattyPatty_Tissue,183805324,0,39862431,176119233,95.82%,175425740,91871399,91871399,173159460,94.24%,175425740,630967,0.34%,635860,254783,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_ChattyPatty_Tissue_chrM,7792752,0,6597500,7787926,99.94% ,7782608,3895368,3896892,7767320,99.68% ,7782608,4826,0.06% ,6654,5104,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
