## This is a tabular format curated from sambamba/samtools flagstat output.
## Author: Sichong Peng (scpeng@ucdavis.edu)
File,Total(QC passed),Total(QC failed),Duplicates(QC passed),Mapped(QC passed),Mapped%(QC passed),Paired(QC passed),R1(QC passed),R2(QC passed),Properly paired(QC passed),Properly paired%(QC passed),Paired mapped(QC passed),Mate only(QC passed),Mate only%(QC passed),Mate mapped to diff chr(QC passed), Mate mapped to diff chr(mapQ>5)(QC passed),Duplicates(QC failed),Mapped(QC failed),Mapped%(QC failed),Paired(QC failed),R1(QC failed),R2(QC failed),Properly paired(QC failed),Properly paired%(QC failed),Paired mapped(QC failed),Mate only(QC failed),Mate only%(QC failed),Mate mapped to diff chr(QC failed), Mate mapped to diff chr(mapQ>5)(QC failed)
Lamina_CP_Tissue_chrM,3111401,0,2164652,3103969,99.76% ,3096438,1554460,1556842,3065434,98.53% ,3096438,7432,0.24% ,9008,6113,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_Nuclei_50M_dedup,38345790,0,0,38345790,100.00%,38156502,19265801,19079989,37983078,99.05%,38156502,189288,0.49%,97764,61725,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM_40M_dedup,28824308,0,0,28824308,100.00%,28764453,14415724,14408584,28667628,99.46%,28764453,59855,0.21%,22475,9300,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_NucleiAM_60M_dedup,46114436,0,0,46114436,100.00%,45690740,23249463,22864973,45371538,98.39%,45690740,423696,0.92%,60366,24072,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_60M_dedup,18589977,0,0,18589977,100.00%,18552581,9307269,9282708,18126556,97.51%,18552581,37396,0.20%,81573,34742,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei_60M_chrM,14280185,0,14107769,14265120,99.89% ,14249336,7142325,7137141,14225104,99.62% ,14249336,15065,0.11% ,10046,7208,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_Tissue_40M_chrM,1713617,0,1451259,1712522,99.94% ,1711300,856588,856902,1707878,99.67% ,1711300,1095,0.06% ,1472,1118,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_Nuclei_filtered,418211461,0,392543460,418211461,100.00%,417326344,209393275,208818186,414915574,99.21%,417326344,885117,0.21%,1045220,495556,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei,613397491,0,566788935,609042144,99.29%,607796428,306628038,306628038,604455336,98.56%,607796428,1104301,0.18%,1781624,744708,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Tissue_50M,50356104,0,19518769,50111126,99.51%,49949946,25169305,25169305,49536316,98.41%,49949946,143686,0.29%,102548,52568,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei_dedup,25668001,0,0,25668001,100.00%,25582469,12834507,12833494,24028914,93.61%,25582469,85532,0.33%,854531,390750,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Tissue_40M_dedup,26823728,0,0,26823728,100.00%,26739099,13452438,13371290,26528798,98.90%,26739099,84629,0.32%,65109,39296,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei_50M_filtered,43561460,0,5215670,43561460,100.00%,43287449,21914442,21647018,43110376,98.96%,43287449,274011,0.63%,99493,62793,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Tissue_50M,49363880,0,10108152,49000094,99.26%,48784370,24669886,24669886,48445030,98.19%,48784370,191616,0.39%,135646,68105,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_chrM,6840516,0,5625074,6809845,99.55% ,6779174,3420708,3419808,6774306,99.03% ,6779174,30671,0.45% ,1394,900,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_Tissue_50M_chrM,2182076,0,1847391,2180753,99.94% ,2179293,1090735,1091204,2175000,99.68% ,2179293,1323,0.06% ,1835,1434,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_Nuclei_50M_filtered,33463845,0,31412321,33463845,100.00%,33393343,16754974,16708871,33201184,99.22%,33393343,70502,0.21%,82927,39361,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
